재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CurrentLiabilities	   유동부채	661,160,443,861	796,062,818,789	674,454,978,990
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_TradeAndOtherCurrentPayables	      매입채무	39,072,097,281	32,556,846,407	39,290,731,138
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ShorttermBorrowings	      단기차입금	262,670,778,000	291,467,302,230	257,683,028,520
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CurrentPortionOfLongtermBorrowings	      유동성장기차입금	149,518,716,980	121,263,221,567	147,316,609,359
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_CurrentPortionOfBonds	      유동성사채	114,893,384,675	173,293,778,750	164,875,893,312
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherCurrentFinancialLiabilities	      기타유동금융부채	48,625,027,002	67,716,486,208	52,575,536,895
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherCurrentLiabilities	      기타유동부채	13,398,845,049	22,521,995,261	11,046,261,687
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_20195142095037_CurrentLiabilities	      유동성리스부채	31,951,327,519	24,105,187,743	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CurrentTaxLiabilities	      당기법인세부채	1,030,267,355	63,138,000,623	1,666,918,079
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_202132214409717_LiabilitiesAbstract	   매각예정비유동부채	47,736,992,866	774,263,240	934,615,193,115
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncurrentLiabilities	   비유동부채	591,265,103,167	659,076,988,337	474,261,316,507
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_BondsIssued	      사채	243,454,101,420	166,515,349,214	188,924,965,068
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_LongTermBorrowingsGross	      장기차입금	209,018,939,105	358,407,163,005	254,210,491,192
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherNoncurrentFinancialLiabilities	      기타비유동금융부채	11,732,877,263	10,870,106,892	11,938,867,066
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherNonCurrentLiabilities	      기타비유동부채	2,229,880,130	3,638,657,583	3,746,723,889
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_202132217166391_NoncurrentLiabilities	      순확정급여채무	1,687,914,433	1,997,901,273	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncurrentLeaseLiabilities	      비유동리스부채	120,382,161,724	116,666,673,712	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_DeferredTaxLiabilities	      이연법인세부채	2,759,229,092	981,136,658	15,440,269,292
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_Liabilities	   부채총계	1,300,162,539,894	1,455,914,070,366	2,083,331,488,612
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_EquityAbstract	자본 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 자본	285,094,516,852	318,484,355,427	287,087,399,701
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_IssuedCapital	      자본금	46,822,295,000	46,822,295,000	46,822,295,000
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_CapitalSurplus	      자본잉여금	100,597,687,755	100,667,329,755	105,883,019,120
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_ElementsOfOtherStockholdersEquity	      자본조정	-31,510,944,400	-24,721,096,254	-22,058,673,120
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherComprehensiveIncomeLossAccumulatedAmount	      기타포괄손익누계액	-11,439,685,591	-3,055,969,672	-733,914,250
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_RetainedEarnings	      이익잉여금(결손금)	180,625,164,088	198,771,796,598	157,174,672,951
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncontrollingInterests	   비지배지분	2,913,293,254	28,856,800,193	204,720,573,046
