Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"■ 영웅문4(HTS) - 키움 REST API, 키움 OPEN API + TR 매칭",,,
,,,,
,업데이트 일자  ,2025.11.06,,
,공식 홈페이지 주소,https://openapi.kiwoom.com/,,
,,,,
,영웅문4 화면번호,영웅문4 화면명,키움 REST API,키움 OPEN API + 
,0178,체결강도추이,ka10046 체결강도추이시간별요청,OPT10046 체결강도추이시간별요청
,0298,신주인수권전체시세,ka10011 신주인수권전체시세요청,OPT10011 신주인수권전체시세요청
,0193,변동성완화장치(VI) 발동종목현황,ka10054 변동성완화장치발동종목요청,OPT10054 변동성완화장치발동종목요청
,0763,기관/외국인연속매매현황 - 기관/외국인연속매매현황,ka10131 기관외국인연속매매현황요청,OPT10131 기관/외국인연속매매현황
,1304,시간외단일가등락률순위,ka10098 시간외단일가등락율순위요청,OPT10098 시간외단일가등락률순위
,1690,자동일지(T) - 일별 잔고 수익률,ka01690 일별잔고수익률,-
,0620,미니업종차트,"ka20004 업종틱차트조회요청
ka20005 업종분봉조회요청
ka20006 업종일봉조회요청
ka20007 업종주봉조회요청
ka20008 업종월봉조회요청
ka20019 업종년봉조회요청",-
,0619,금현물차트,"ka50079 금현물틱차트조회요청
ka50080 금현물분봉차트조회요청
ka50081 금현물일봉차트조회요청
ka50082 금현물주봉차트조회요청
ka50083 금현물월봉차트조회요청",-
,0202,금현물주문종합,"kt50000 금현물매수주문
kt50001 금현물매도주문
kt50002 금현물정정주문
kt50003 금현물취소주문
ka50100 금현물 시세정보
ka50101 금현물 호가
5w 국제금환산가격(원/g)
5d 국제금환산가격($/온스)
ka52301 금현물투자자현황
ka50087 금현물예상체결
kt50000 금현물 매수주문
kt50001 금현물 매도주문
kt50002 금현물 정정주문
kt50003 금현물 취소주문
kt50075 금현물 미체결조회
kt50020 금현물 잔고확인
kt50021 금현물 예수금
kt50030 금현물 주문체결전체조회
kt50031 금현물 주문체결조회",-
,0619,금현물차트,"ka50079 금현물틱차트조회요청
ka50080 금현물분봉차트조회요청
ka50081 금현물일봉차트조회요청
ka50082 금현물주봉차트조회요청
ka50083 금현물월봉차트조회요청
ka50091 금현물당일틱차트조회요청
ka50092 금현물당일분봉차트조회요청",-
,0209,금현물일별추이,ka50012 금현물일별추이,-
,0208,금현물체결추이,ka50010 금현물체결추이,-
,1365,금현물거래내역,kt50032 금현물 거래내역조회,-
